"frequency = monthly issuance","frequency = issuance after transaction","frequency = weekly issuance","gender = f","gender = m","Id","Predicted"
"1","0","0","0","1","6534",0.6658798761446458
"0","0","1","1","0","6568",0.6631164802400257
"1","0","0","1","0","5808",0.9340104886958949
"1","0","0","0","1","7139",0.866094825571942
"1","0","0","0","1","5582",0.934001651472733
"1","0","0","1","0","6887",0.8026822112900313
"0","0","1","1","0","5681",0.5990577417838812
"0","1","0","0","1","5214",0.7334212700021127
"1","0","0","0","1","6355",0.7330629739214573
"1","0","0","1","0","5977",0.6655053448111405
"1","0","0","0","1","5270",0.7322154135599487
"1","0","0","1","0","5332",0.8667145506252772
"1","0","0","1","0","5932",0.7987681056739302
"0","0","1","0","1","6675",0.6010469144078642
"1","0","0","1","0","7119",0.8677695198266043
"1","0","0","0","1","6956",0.7328058228080775
"0","1","0","1","0","6470",0.866426773801373
"1","0","0","1","0","5158",0.6001676811167256
"0","0","1","1","0","5260",0.7341669147277065
"1","0","0","0","1","6076",0.8675661024525461
"1","0","0","1","0","5469",0.5302474785983466
"0","0","1","1","0","6571",0.6644047879056154
"1","0","0","1","0","7001",0.5311335299312007
"1","0","0","0","1","7187",0.8658485149783539
"1","0","0","1","0","7085",0.5313308089099454
"0","1","0","0","1","6147",0.5330154037368654
"1","0","0","1","0","6313",0.6690081151562186
"1","0","0","0","1","4990",0.6021887420216241
"1","0","0","1","0","6851",0.5324889858398907
"1","0","0","1","0","6196",0.5327579252827974
"1","0","0","1","0","5699",0.5312830474534861
"1","0","0","0","1","6562",0.8012104947191385
"1","0","0","1","0","5931",0.6633960567946272
"1","0","0","0","1","5051",0.533546795998707
"1","0","0","1","0","5856",0.8011170792543001
"1","0","0","0","1","6320",0.7333494576920236
"1","0","0","1","0","5034",0.8008408389930173
"0","0","1","0","1","7242",0.9323558915048191
"1","0","0","0","1","6312",0.8700502553572063
"1","0","0","0","1","6612",0.7339760908154003
"1","0","0","0","1","6502",0.7972259425203286
"1","0","0","0","1","4962",0.7980987311848075
"1","0","0","0","1","7230",0.8680155313347793
"0","0","1","0","1","6962",0.5314457495283808
"1","0","0","0","1","5343",0.9336666775610423
"1","0","0","0","1","6857",0.535955326032617
"1","0","0","1","0","5451",0.6696704338758918
"1","0","0","1","0","5382",0.8027346550874918
"0","0","1","0","1","6932",0.664214312097829
"0","0","1","0","1","5005",0.7992602435814008
"1","0","0","1","0","6643",0.8008560011711006
"1","0","0","0","1","6554",0.6703970312086784
"1","0","0","1","0","5823",0.6639077261574527
"0","0","1","0","1","6010",0.6685504650249013
"1","0","0","1","0","6450",0.5352510574625049
"1","0","0","1","0","5501",0.662933033874959
"1","0","0","0","1","5620",0.7984008553013896
"1","0","0","1","0","5656",0.6666222795278866
"1","0","0","0","1","6235",0.5328281241880608
"1","0","0","1","0","6632",0.6663223951059102
"1","0","0","1","0","6490",0.6667181937054895
"0","1","0","0","1","5674",0.6660094660569041
"1","0","0","0","1","5889",0.5327002410330435
"1","0","0","1","0","5556",0.5326899717585127
"1","0","0","1","0","6442",0.8002190113145857
"0","0","1","1","0","6097",0.6688389785836113
"0","0","1","1","0","5043",0.6650686266839546
"1","0","0","1","0","6237",0.6692497212888522
"1","0","0","0","1","6083",0.6012256230118294
"1","0","0","0","1","5229",0.8019126133931436
"1","0","0","1","0","6705",0.5351679776563514
"1","0","0","0","1","7199",0.9325509155853268
"0","0","1","1","0","6239",0.6687166798780154
"1","0","0","0","1","6688",0.8693723647276044
"1","0","0","0","1","5784",0.9323281172793442
"1","0","0","1","0","6552",0.6638551085951514
"1","0","0","0","1","6877",0.4020149601987173
"1","0","0","0","1","5236",0.669962100982033
"1","0","0","0","1","7209",0.670388474496075
"1","0","0","1","0","6553",0.9335288045728396
"1","0","0","0","1","5638",0.5983883477618381
"1","0","0","1","0","5072",0.7320102965820355
"1","0","0","1","0","6415",0.6648395229963542
"1","0","0","0","1","5651",0.870110666203336
"1","0","0","0","1","6970",0.7986994327808349
"0","0","1","0","1","7049",0.5353347523975885
"0","1","0","0","1","5585",0.8668729235281855
"1","0","0","1","0","6007",0.46580244945116345
"1","0","0","1","0","6766",0.731983577501147
"1","0","0","1","0","5616",0.7298920005686479
"1","0","0","0","1","6088",0.9322412045927666
"1","0","0","1","0","6338",0.6703758855821083
"0","0","1","0","1","5320",0.6647294218726499
"1","0","0","0","1","5338",0.6663287989889365
"1","0","0","0","1","6399",0.8673673057128679
"1","0","0","1","0","6821",0.5332335922700063
"1","0","0","1","0","6207",0.6014372283332412
"1","0","0","1","0","6866",0.8024679144545667
"1","0","0","1","0","5953",0.7329950157216117
"0","0","1","0","1","5435",0.5314150071190252
"1","0","0","0","1","6278",0.9318133963065531
"1","0","0","1","0","6310",0.7995038538890054
"1","0","0","0","1","6926",0.6700848400889288
"1","0","0","1","0","7295",0.531935589434427
"1","0","0","1","0","6254",0.6667032404541164
"0","0","1","0","1","5287",0.6636609708405761
"1","0","0","1","0","5154",0.7334055828455074
"1","0","0","1","0","5790",0.9323432414493177
"1","0","0","0","1","7219",0.7994665614637438
"1","0","0","1","0","6753",0.5351472915819477
"1","0","0","0","1","5760",0.6677441552777463
"1","0","0","1","0","5042",0.46961865361525723
"0","1","0","1","0","5206",0.7311177945031567
"1","0","0","0","1","6660",0.6631957032395642
"1","0","0","1","0","6730",0.8014830128712574
"1","0","0","1","0","6574",0.7984398912743935
"1","0","0","1","0","7100",0.6670771427309155
"1","0","0","0","1","5491",0.6674071645340494
"1","0","0","0","1","5172",0.801540627535819
"1","0","0","1","0","6468",0.6686796345995208
"1","0","0","0","1","6682",0.8012078058168958
"0","0","1","0","1","6044",0.7323277493451831
"1","0","0","1","0","7255",0.6652337965212528
"0","1","0","0","1","5933",0.9319989178607847
"1","0","0","0","1","6855",0.8008179215725592
"1","0","0","1","0","5614",0.5997956679448457
"1","0","0","0","1","5976",0.665028317196919
"1","0","0","0","1","6322",0.7983324967325097
"1","0","0","1","0","7168",0.6672501116158085
"0","0","1","1","0","5665",0.9340966883106474
"1","0","0","1","0","5061",0.8672361529593752
"1","0","0","1","0","5520",0.5340034686657276
"1","0","0","0","1","6435",0.4662118907218773
"1","0","0","1","0","6625",0.6648578845208504
"1","0","0","1","0","6357",0.6647215807152201
"1","0","0","0","1","7129",0.8009658605256745
"1","0","0","1","0","6922",0.8010789582363806
"1","0","0","1","0","5367",0.8669664920236116
"1","0","0","1","0","6984",0.8027397683715478
"1","0","0","1","0","5940",0.7333459669088622
"1","0","0","1","0","5865",0.5342401364007716
"1","0","0","0","1","7151",0.6668109908613353
"0","1","0","0","1","5589",0.6701138826653629
"1","0","0","1","0","7279",0.7997028861252613
"1","0","0","1","0","7072",0.8668488434018091
"1","0","0","0","1","6819",0.8665987515032273
"1","0","0","1","0","6695",0.5314223719957879
"1","0","0","1","0","6861",0.6641622128292077
"1","0","0","1","0","6249",0.5994994273860154
"0","0","1","0","1","5799",0.7324891313710336
"1","0","0","1","0","6758",0.798792288411711
"1","0","0","0","1","5293",0.7318383218387461
"1","0","0","0","1","7277",0.9334705554708331
"1","0","0","1","0","5909",0.6642361612222438
"0","0","1","0","1","5265",0.6661132543111282
"1","0","0","0","1","5428",0.5338367145935282
"0","0","1","1","0","7264",0.9327598400018686
"1","0","0","0","1","5169",0.5995452944664572
"0","0","1","1","0","7221",0.6036744838083885
"1","0","0","1","0","6113",0.7344369980689358
"1","0","0","1","0","5253",0.7310045750175289
"1","0","0","0","1","5841",0.933871959111656
"1","0","0","0","1","5963",0.6679132152020699
"1","0","0","1","0","5015",0.7339151946566905
"1","0","0","1","0","6054",0.6657097075310188
"1","0","0","0","1","5346",0.7333580635927514
"1","0","0","1","0","6234",0.8692027956627435
"1","0","0","1","0","7172",0.9325435574628993
"1","0","0","0","1","6727",0.9333124144704918
"1","0","0","1","0","6791",0.6657763963038458
"1","0","0","0","1","6641",0.7331780222838818
"1","0","0","1","0","5063",0.6681499253432432
"1","0","0","1","0","6859",0.5324956467509032
"1","0","0","0","1","7051",0.7984407031051128
"1","0","0","0","1","5526",0.6652594312383943
"1","0","0","0","1","7202",0.6656406302711743
"1","0","0","0","1","5389",0.8010065688209118
"1","0","0","0","1","5683",0.6628911190519607
"0","1","0","1","0","5245",0.7327707784443883
"0","0","1","0","1","5893",0.9318475868573357
"1","0","0","0","1","5956",0.6643256590129416
"1","0","0","0","1","5365",0.5317855331930316
"1","0","0","1","0","5036",0.8002462083989442
"1","0","0","1","0","5140",0.5327879231925143
"1","0","0","0","1","7067",0.665754861006997
"1","0","0","0","1","5369",0.6628824191059266
"1","0","0","1","0","7096",0.8016877368228498
"1","0","0","1","0","7037",0.6637407903765211
"1","0","0","1","0","5731",0.6652201288836449
"0","0","1","0","1","6402",0.663735503787216
"1","0","0","0","1","6052",0.869030310987426
"1","0","0","0","1","5318",0.6700144845802286
"1","0","0","0","1","6755",0.664241981726921
"1","0","0","0","1","5669",0.6661226234352665
"1","0","0","1","0","6539",0.8699304496535782
"1","0","0","0","1","6868",0.8005293866540605
"1","0","0","1","0","7181",0.7353472034361541
"1","0","0","1","0","6215",0.7342106529285988
"1","0","0","0","1","6969",0.9327262720754074
"1","0","0","0","1","5046",0.8678221438106626
"0","0","1","1","0","6469",0.7319035697579044
"1","0","0","1","0","6242",0.8004358308408521
"0","0","1","0","1","5525",0.7348118035544663
"1","0","0","1","0","5782",0.6636484115649182
"1","0","0","1","0","5991",0.5352188574394948
"1","0","0","1","0","6748",0.6016005736219964
"0","0","1","0","1","6059",0.800439654061033
"1","0","0","0","1","5221",0.800566148934431
"1","0","0","1","0","6569",0.9324994199703793
"1","0","0","1","0","6790",0.7973965803755145
"1","0","0","1","0","7195",0.5358208486213367
"0","0","1","0","1","5527",0.7357663183867138
"1","0","0","1","0","5772",0.5351142008399585
"1","0","0","1","0","4989",0.6674485681380167
"1","0","0","0","1","7292",0.5326475120089028
"1","0","0","1","0","7167",0.5331352709707585
"1","0","0","1","0","6948",0.7996949399453338
"0","1","0","0","1","6437",0.6647653263516077
"1","0","0","1","0","5313",0.933844542037407
"1","0","0","1","0","5906",0.8010780152387039
"1","0","0","0","1","5241",0.7327681056499541
"1","0","0","0","1","5354",0.4656728551112038
"1","0","0","1","0","5644",0.5301377306768048
"0","0","1","1","0","4968",0.7341718968686871
"0","0","1","1","0","6508",0.8006228895496565
"1","0","0","1","0","5973",0.6622992459262803
"0","0","1","0","1","5124",0.6703120212850358
"1","0","0","0","1","6136",0.6633997353693515
"1","0","0","0","1","6923",0.9329131212664793
"1","0","0","0","1","5368",0.9336914199630865
"1","0","0","0","1","4967",0.5320821089673324
"1","0","0","1","0","6852",0.8692977025731673
"1","0","0","0","1","7200",0.864225665054887
"1","0","0","1","0","6746",0.6029851185373968
"1","0","0","1","0","5698",0.5977329178344978
"1","0","0","1","0","5384",0.8023698545754536
"1","0","0","0","1","7091",0.86753978714969
"1","0","0","1","0","6168",0.7316452904699678
"1","0","0","0","1","7171",0.7359933833736381
"1","0","0","1","0","6464",0.8670803930505944
"1","0","0","1","0","6321",0.8680577122193864
"1","0","0","0","1","6856",0.6017622695224825
"1","0","0","0","1","6078",0.6634108825145547
"1","0","0","0","1","5334",0.5996031133645374
"1","0","0","0","1","5304",0.5976051961940647
"1","0","0","0","1","5930",0.6633955067455517
"1","0","0","1","0","6495",0.9314921795219426
"1","0","0","0","1","5774",0.6673850639775515
"1","0","0","0","1","5815",0.6690662793153503
"1","0","0","1","0","6436",0.6649902614571637
"1","0","0","1","0","7294",0.8016788441789563
"1","0","0","0","1","5765",0.7354718946404685
"1","0","0","1","0","5561",0.6667485033039363
"1","0","0","1","0","5463",0.9347690502216959
"1","0","0","0","1","7164",0.6019979100907065
"1","0","0","1","0","6872",0.7354345296715755
"1","0","0","0","1","7035",0.6662161853649694
"1","0","0","0","1","5027",0.603149852185905
"1","0","0","1","0","5147",0.8678327785114495
"1","0","0","0","1","5226",0.5990024513712656
